Name,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
Jonathan Adams,WR,74,210,4.59,,39,132,4.38,7.04
Paulson Adebo,CB,73,198,4.45,18,36.5,121,4.13,6.69
DAngelo Amos,FS,71.75,191,4.58,11,34.5,119,4.33,6.98
Jack Anderson,OG,76.63,314,5.27,27,29.5,105,4.83,7.88
Otis Anderson,RB,67.5,179,4.65,11,36,113,4.42,7.04
Zayne Anderson,FS,73.88,206,4.44,11,34,120,4.2,6.78
Cary Angeline,TE,78.5,245,4.89,12,29,109,4.59,7.19
Rayshard Ashby,ILB,70.25,232,4.93,24,31.5,114,4.32,7.17
Calvin Ashley,OT,78.13,314,5.55,15,29,105,5,8.46
Tutu Atwell,WR,68.88,155,4.39,,33,117,4.09,6.87
Jhamon Ausbon,WR,74.38,217,4.72,,33,118,4.28,6.89
Kayode Awosika,OG,75.13,307,5.19,28,30,100,4.91,8.15
JaQuan Bailey,DE,73.88,246,4.81,19,26.5,110,4.8,7.53
Kawaan Baker,WR,72.5,210,4.45,21,39.5,129,4.41,7.42
Cagan Baldree,FB,74.88,246,5.14,17,33.5,114,4.5,7.47
Josh Ball,OT,79.38,308,5.2,28,27.5,106,4.7,7.77
Cole Banwart,OG,75.75,298,5.23,20,27.5,103,4.56,7.5
Derrick Barnes,ILB,72.38,238,4.58,29,37,119,4.32,
Carlos Basham,DE,75.25,274,4.62,20,34,122,4.32,7.13
Rashod Bateman,WR,72.38,190,4.43,,36,123,4.35,6.95
John Bates,TE,77.38,250,4.84,19,31.5,120,4.35,6.85
Tavante Beckett,OLB,70,220,4.78,18,31,106,4.58,7.34
Chase Behrndt,C,75.5,324,5.55,25,24.5,101,4.93,8.21
Turner Bernard,LS,72.75,233,5.18,23,25.5,94,4.79,7.72
Shaun Beyer,TE,76.88,250,4.81,22,31.5,119,4.26,7.02
Tarik Black,WR,74.75,213,4.54,15,40,132,4.26,6.91
Joshuah Bledsoe,FS,71.38,204,,,,103,,
Quinton Bohanna,DT,76,327,5.48,,29,99,5.15,8.21
Nick Bolton,ILB,71.13,237,4.6,24,32,115,4.5,7.4
Ian Book,QB,72,211,4.65,,32.5,115,4.2,7
Dicaprio Bootle,CB,69.5,180,4.45,16,36.5,126,4.17,6.72
Tuf Borland,ILB,72.25,229,5,15,32.5,109,4.3,7.18
Larry Borom,OG,76.88,322,5.15,21,31,103,,8.04
Jose Borregales,K,70,206,,,,122,,
Rakeem Boyd,RB,71.38,213,4.7,6,32.5,98,4.38,7.22
William Bradley-King,DE,75.5,252,4.79,,34.5,119,4.29,7.1
Brady Breeze,SS,71.75,197,4.55,20,38,120,4.23,7.03
Gary Brightwell,RB,70.75,218,4.62,17,34.5,118,4.48,7.51
K.J. Britt,ILB,72.5,235,4.76,24,32.5,118,4.4,7.38
Josiah Bronson,DT,74.88,304,5.07,27,30,101,4.72,7.63
Deonte Brown,OG,75.25,344,5.57,,27,96,5.18,8.33
Earnest Brown,DE,76.5,270,5.01,25,31,115,4.5,7.19
Spencer Brown,RB,70.38,208,4.64,74,36.5,121,4.39,7.38
Spencer Brown,OT,80.25,311,4.94,29,31.5,117,4.4,6.96
Tre Brown,CB,69.75,185,4.42,13,38,123,4.27,7.11
Baron Browning,ILB,74.75,245,4.56,23,40,130,4.22,6.78
Shane Buechele,QB,72.25,210,4.96,,30,114,4.6,7.34
Calvin Bundage,OLB,73.75,221,4.81,14,31.5,116,4.43,7.31
Lorenzo Burns,CB,70.38,183,4.56,14,33.5,123,4.51,7.55
Jake Burton,OG,77.5,303,5.49,22,26,100,4.97,8.22
Rico Bussey,WR,72.38,186,4.5,13,38.5,124,4.26,7.21
Camryn Bynum,CB,72.25,196,4.58,,34,129,4.1,6.99
Jalen Camp,WR,73.88,226,4.48,29,39.5,125,4.14,7
Kyree Campbell,DT,74.88,287,5.41,,25,98,5.14,7.96
Michael Carter,FS,69.63,184,4.36,13,35.5,117,4.44,6.9
Michael Carter,RB,67.88,201,4.54,16,34,119,3.98,6.83
Tory Carter,FB,72.38,229,4.89,24,35.5,112,4.38,7.21
JaMarr Chase,WR,72.38,201,4.34,,41,132,3.99,6.96
Camaron Cheeseman,LS,76.25,239,5.09,17,33,110,4.58,7.57
