Season,PLAYER,POS,Lane Agility Time  (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches)
2020-21,Ty-Shon Alexander,SG,11.33,3.26,28,33
2020-21,Udoka Azubuike,C,11.82,3.23,37,41
2020-21,Tyler Bey,PF,11.35,3.17,37,43.5
2020-21,Yoeli Childs,PF,10.87,3.22,34,38.5
2020-21,Mamadi Diakite,PF,11.95,3.16,28,37
2020-21,Devon Dotson,PG,10.44,3.02,31.5,40.5
2020-21,Paul Eboua,SF-PF,10.79,3.19,33,35.5
2020-21,CJ Elleby,SG-SF,11.25,3.25,30.5,36.5
2020-21,Trent Forrest,PG,11.04,3.18,28,34.5
2020-21,Josh Green,SG-SF,10.64,3.12,30.5,39.5
2020-21,Ashton Hagans,PG,10.82,3.13,29.5,36.5
2020-21,Joshua Hall,SF,12.16,3.38,31.5,37.5
2020-21,Jalen Harris,SG,10.59,3.11,37.5,42.5
2020-21,Markus Howard,PG,11.21,3.11,30.5,35.5
2020-21,Mason Jones,SG,10.6,3.33,24,31
2020-21,Nathan Knight,PF-C,11.56,3.31,23,31.5
2020-21,Karim Mane,PG-SG,11.52,3.04,31,36
2020-21,Naji Marshall,SF,11.77,3.37,28.5,35
2020-21,Kenyon Martin Jr.,SF-PF,11.93,3.16,31.5,38.5
2020-21,Skylar Mays,SG,10.65,3.3,29,37.5
2020-21,Zeke Nnaji,PF-C,10.94,3.2,33,38
2020-21,Jordan Nwora,SF-PF,11.29,3.43,29,35
2020-21,Reggie Perry,PF-C,11.26,3.25,30,33.5
2020-21,Immanuel Quickley,SG,11.21,3.17,29.5,35.5
2020-21,Paul Reed Jr.,PF,12.29,3.45,26.5,37.5
2020-21,Nick Richards,C,11.42,3.25,30,34
2020-21,Grant Riller,PG-SG,11.17,3.07,32.5,39.5
2020-21,Cassius Stanley,SG,11.4,3.09,34.5,44
2020-21,Lamar Stevens,SF-PF,10.35,3.2,35,41
2020-21,Tyrell Terry,PG,10.78,3.28,30,34
2020-21,Killian Tillie,PF,11.6,3.4,27.5,32
2020-21,Xavier Tillman Sr.,PF-C,11.8,3.49,26,32.5
2020-21,Kaleb Wesson,C,11.73,3.6,21.5,27
2020-21,Kahlil Whitney,SF,11.17,3.28,29,39
2020-21,Cassius Winston,PG,11.15,3.61,24,28
2020-21,Robert Woodard II,SF,11.1,3.18,32,38
2019-20,Charles Bassey,C,12.65,3.53,29,33
2019-20,Darius Bazley,PF,11.09,3.27,30.5,37
2019-20,Jordan Bone,SG,9.97,3.08,36,42.5
2019-20,Brian Bowen II,SF,10.98,3.26,32,35.5
2019-20,Ky Bowman,PG,11.11,3.26,27.5,33
2019-20,Ignas Brazdeikis,SF,11.06,3.36,31,36.5
2019-20,O'Shae Brissett,SF-PF,11.3,3.48,34,37.5
2019-20,Moses Brown,C,11.95,3.51,27,31
2019-20,Brandon Clarke,SF,10.61,3.15,34,40.5
2019-20,Nicolas Claxton,C,11.26,3.36,31.5,36.5
2019-20,Tyler Cook,PF,11.32,3.28,27.5,32
2019-20,Terence Davis,SG,10.69,3.28,29.5,34
2019-20,Luguentz Dort,PG,10.79,3.22,32.5,38
2019-20,Devon Dotson,PG,10.63,3.04,30,38.5
2019-20,Carsen Edwards,PG,10.53,3.22,28.5,34
2019-20,Tacko Fall,C,13.01,3.78,22,26.5
2019-20,Bruno Fernando,C,11.29,3.21,29.5,33.5
2019-20,Daniel Gafford,PF,11.61,3.25,32.5,36.5
2019-20,Quentin Grimes,SG,10.83,3.2,27.5,36
2019-20,Kyle Guy,SG,10.48,3.27,30.5,36.5
2019-20,Jaylen Hands,PG,10.73,3.12,33,41.5
2019-20,Jared Harper,PG,10.77,3.04,33.5,40.5
2019-20,Jaxson Hayes,PF,11.74,3.37,27,34.5
2019-20,Dewan Hernandez,C,11.46,3.28,30.5,35.5
2019-20,Jalen Hoard,PF,11.44,3.34,27.5,35.5
2019-20,Talen Horton-Tucker,SG,11.34,3.34,26,34.5
2019-20,Ty Jerome,PG,11.21,3.4,26,31.5
2019-20,Cameron Johnson,SG,10.52,3.26,30.5,36.5
2019-20,Mfiondu Kabengele,PF,11.21,3.25,28,35.5
2019-20,Louis King,SF,10.99,3.28,29,33
2019-20,Dedric Lawson,PF,11.8,3.6,23.5,26
2019-20,Jalen Lecque,PG,11.09,3.29,35,43
2019-20,Nassir Little,SF,12.15,3.24,31,38.5
2019-20,Terance Mann,SG-SF,11.51,3.3,32.5,38.5
2019-20,Cody Martin,PG-SG,10.44,3.32,28,35.5
2019-20,Charles Matthews,SG,11.26,3.38,29.5,37.5
2019-20,Jalen McDaniels,SF,11.54,3.32,29.5,33.5
2019-20,Zach Norvell Jr.,SG,11.6,3.43,24,30
2019-20,Jaylen Nowell,SG,10.76,3.23,32,38.5
2019-20,KZ Okpala,SF,10.88,3.38,30.5,37
2019-20,Miye Oni,SG,11.71,3.17,30.5,38.5
2019-20,Eric Paschall,SF,11.63,3.3,33,38
2019-20,Reggie Perry,SF-PF,12.46,3.3,28.5,31.5
2019-20,Shamorie Ponds,PG,11.01,3.2,29,37
2019-20,Jordan Poole,SG,10.59,3.27,28,35.5
2019-20,Kevin Porter Jr.,SG,10.82,3.14,27,34
2019-20,Neemias Queta,C,12.04,3.73,24,32.5
2019-20,Naz Reid,PF,12.03,3.42,26,32.5
2019-20,Isaiah Roby,PF,10.63,3.25,32.5,35.5
2019-20,Luka Samanic,PF,11.01,3.27,27,38
2019-20,Admiral Schofield,SF,10.77,3.37,30,34
2019-20,Marial Shayok,SF-PF,11.16,3.37,29.5,36.5
2019-20,Simisola Shittu,PF,11.85,3.3,27,35.5
2019-20,Tremont Waters,PG,10.76,3.07,30.5,40.5
2019-20,Quinndary Weatherspoon,SG,11.57,3.16,31,38
2019-20,Kris Wilkes,SF,10.39,3.34,27.5,35
2019-20,Grant Williams,PF,10.83,3.33,26,31.5
2019-20,Dylan Windler,SF,10.7,3.3,29,37.5
2018-19,Rawle Alkins,SG,11.5,3.15,32.5,40.5
2018-19,Grayson Allen,SG,10.31,3.15,32.5,40.5
2018-19,Kostas Antetokounmpo,PF,12.48,3.21,29.5,35
2018-19,Udoka Azubuike,C,12.97,3.12,31,31.5
2018-19,Jaylen Barford,PG-SG,11.39,3.31,27,33
2018-19,Keita Bates-Diop,SG-SF,11.2,3.17,30.5,35
2018-19,Tyus Battle,SG,11.04,3.07,32,37.5
2018-19,Brian Bowen,SG-SF,11.58,3.28,30.5,34
2018-19,Bruce Brown,SG-PG,11.11,3.2,32.5,38
2018-19,Troy Brown,SF,11.51,3.33,26,33
2018-19,Jalen Brunson,PG,10.59,3.15,29,37
2018-19,Tony Carr,PG,11.89,3.17,25,31.5
2018-19,Jevon Carter,PG,11.04,3.18,29,36.5
2018-19,Donte DiVincenzo,SG,10.72,3.11,34.5,42
2018-19,Hamidou Diallo,SG,10.53,3.1,32.5,40.5
2018-19,Trevon Duval,PG,10.93,3.18,34,41.5
2018-19,Carsen Edwards,PG,11.59,3.2,28.5,34.5
2018-19,Jacob Evans,SG-SF,11.11,3.2,28,35.5
2018-19,Bruno Fernando,C,12.19,3.23,29,35
2018-19,Melvin Frazier,SF-SG,11.24,3.08,31,40.5
2018-19,Devonte Graham,PG,11.28,3.21,31,37
2018-19,Devon Hall,SG,10.95,3.27,25,31
2018-19,Jaylen Hands,PG,12.11,3.13,31.5,39.5
2018-19,Kevin Hervey,PF,11.28,3.36,27.5,32
2018-19,Aaron Holiday,PG,10.96,3.27,25.5,33
2018-19,Kevin Huerter,SG,10.89,3.09,31,38
2018-19,Alize Johnson,PF,11.83,3.38,25,31
2018-19,George King,SF-SG,10.75,3.29,31,39
2018-19,Sagaba Konate,C,12.28,3.28,31.5,35
2018-19,Caleb Martin,SF-SG,10.43,3.26,29,36.5
2018-19,Cody Martin,SG-SF,10.64,3.09,29,36.5
2018-19,Yante Maten,PF-C,11.35,3.17,27,31.5
2018-19,Brandon McCoy,C,11.77,3.23,27.5,32
2018-19,DeAnthony Melton,SG-PG,11.48,3.23,31,36.5
2018-19,Chimezie Metu,PF-C,11.89,3.33,29.5,36
2018-19,Shake Milton,SG-PG,11.07,3.25,30,33
2018-19,Sviatoslav Mykhailiuk,SG-SF,11.25,3.15,30.5,37
2018-19,Malik Newman,SG,10.9,3.13,27.5,33.5
2018-19,Josh Okogie,SG,11.08,3.04,33,42
