player_id,player_name,yearCombine,position,height,weight,max_vertical,bench_reps,timeLaneAgility,timeThreeQuarterCourtSprint,timeModifiedLaneAgility,lengthHandInches,widthHandInches,body_fat_pct
1629619,Myles Powell,2020,PG-SG,72.5,194.0,,,,,,8.0,9.0,15.8
2421,Frank Williams,2002,PG,73.5,212.0,31.0,,11.73,3.29,,,,
1629670,Jordan Nwora,2020,SF-PF,77.75,223.0,35.0,,11.29,3.43,2.66,8.5,9.25,11.68
12294,Rashad Wright,2004,PG,72.5,190.0,32.5,10.0,11.15,3.28,,,,8.0
2437,Lonny Baxter,2002,PF-C,78.25,264.0,32.5,14.0,11.77,3.21,,,,
101194,Anthony Roberson,2005,PG,72.75,178.8,37.0,14.0,11.17,3.19,,,,
1629640,Keldon Johnson,2019,SG,76.75,216.4,,,,,,8.0,9.25,5.6
12017,Caswell Cyrus,2000,PF,79.75,220.5,37.5,18.0,12.12,3.16,,,,
12430,Demetri McCamey,2011,PG,73.75,204.0,33.0,,11.55,3.19,,8.5,9.0,6.1
203481,Jeff Withey,2013,C,82.75,221.8,29.0,10.0,12.49,3.47,3.29,9.0,9.75,8.65
203519,Adonis Thomas,2013,SF,76.75,231.8,40.5,13.0,11.64,3.32,3.11,9.25,9.5,7.5
2059,Eduardo Najera,2000,PF-SF,78.5,234.5,35.0,15.0,11.38,3.45,,,,
12066,David Graves,2002,SG,76.5,212.0,29.5,8.0,11.2,3.27,,,,
201953,Eric Maynor,2009,PG,74.25,163.6,31.5,8.0,10.78,3.19,,,,5.4
202399,Jeff Adrien,2009,PF,77.25,236.2,31.5,16.0,11.34,3.32,,,,7.9
1629636,Darius Garland,2019,PG,,,,,,,,,,
2563,Dahntay Jones,2003,SG-SF,76.75,214.0,39.5,,10.91,3.11,,,,2.6
12050,Sean Kennedy,2002,PG,72.75,182.0,26.5,0.0,11.64,3.28,,,,
1626166,Cameron Payne,2015,PG,72.75,182.8,35.5,0.0,10.9,3.28,2.93,8.5,8.25,6.3
203658,Norvel Pelle,2013,PF-C,81.5,207.2,34.5,0.0,11.49,3.32,3.2,8.75,9.5,5.15
1627761,DeAndre Bembry,2016,SG-SF,76.25,206.6,38.0,,10.9,3.17,2.87,8.0,9.25,7.0
12123,Kenny Adeleke,2006,PF-C,78.5,250.0,30.5,26.0,11.57,3.47,,,,10.5
12011,Aerick Sanders,2004,PF,78.5,205.0,30.5,9.0,11.98,3.37,,,,6.7
203254,JaMychal Green,2012,PF,80.0,217.4,32.5,19.0,10.63,3.38,,9.25,9.25,9.8
2403,Nene,2002,PF,81.25,253.0,34.0,16.0,10.73,3.19,,,,
201144,Mike Conley,2007,PG,71.0,175.0,40.5,13.0,11.63,3.09,,,,4.2
1628398,Kyle Kuzma,2017,SF-SG,80.0,222.6,34.0,12.0,10.72,3.25,2.98,8.5,9.5,9.4
1630218,Robert Woodard II,2020,SF,77.5,230.2,38.0,,11.1,3.18,2.49,9.0,10.75,4.5
12230,Curtis Sumpter,2007,SF,78.0,227.0,32.5,12.0,11.3,3.22,,,,5.3
2400,Drew Gooden,2002,PF,80.75,227.0,33.0,13.0,11.81,3.19,,,,
2749,Jameer Nelson,2004,PG,71.0,199.0,33.5,15.0,10.95,3.14,,,,8.0
2549,Chris Kaman,2003,C-PF,83.5,252.0,30.5,15.0,11.33,3.37,,,,16.3
2744,Al Jefferson,2004,PF-SF,80.5,263.0,30.0,3.0,13.08,3.29,,,,10.5
12252,Vladimir Golubovic,2008,C,83.25,258.0,27.0,15.0,12.4,3.33,,,,6.9
203648,Thanasis Antetokounmpo,2014,SF,77.25,205.2,39.5,,11.39,3.18,3.05,9.0,9.75,6.05
1626203,Treveon Graham,2015,SF,76.0,219.4,31.5,11.0,11.64,3.3,3.15,8.5,8.25,5.5
1626150,Andrew Harrison,2015,PG,76.5,213.2,33.0,,11.2,3.34,,8.25,9.25,5.9
1627745,Damian Jones,2016,C,82.25,243.6,37.0,,11.35,3.2,3.12,8.75,10.5,6.55
2243,Brian Scalabrine,2001,PF-SF,80.75,241.0,30.5,14.0,11.75,3.47,,,,13.6
201148,Brandan Wright,2007,PF,80.75,200.0,35.5,2.0,11.76,3.31,,,,5.8
12019,Harold Arceneaux,2000,SG-SF,76.5,219.0,29.0,0.0,13.8,,,,,
12467,Drew Gordon,2012,PF,80.0,239.0,34.0,10.0,11.35,3.49,,8.5,9.75,9.1
202326,DeMarcus Cousins,2010,C,81.5,291.8,27.5,,11.4,3.55,,9.25,10.0,16.4
201201,Marcus Slaughter,2006,PF-SF,79.0,220.0,34.0,9.0,11.56,3.4,,,,8.5
202350,Daniel Orton,2010,C,80.75,269.2,30.5,13.0,12.32,3.39,,8.5,9.75,13.8
1628453,Melo Trimble,2017,PG,73.25,195.2,32.0,6.0,10.75,3.27,2.92,8.0,8.75,10.6
1628412,Frank Mason III,2017,PG,71.0,188.8,41.0,15.0,11.41,3.18,3.09,8.0,9.25,4.3
1630234,Ty-Shon Alexander,2020,SG,74.0,200.8,33.0,,11.33,3.26,2.47,8.75,8.75,12.3
202329,Al-Farouq Aminu,2010,SF,79.25,216.0,33.5,13.0,11.29,3.3,,9.5,9.5,8.2
203920,Khem Birch,2014,PF,79.5,208.8,35.5,,11.6,3.26,3.24,9.0,8.5,6.0
1629608,Dewan Hernandez,2019,C,81.0,232.8,35.5,13.0,11.46,3.28,3.25,9.5,10.25,6.1
12141,Jacob Jaacks,2000,PF,81.25,238.0,32.0,3.0,11.48,3.58,,,,
201228,CJ Watson,2006,PG,72.5,171.0,34.0,12.0,11.61,3.15,,,,5.2
2486,Maurice Baker,2002,PG,71.75,178.0,33.0,2.0,12.19,3.29,,,,
2768,Chris Duhon,2004,PG,72.0,193.0,35.0,7.0,10.45,3.14,,,,6.7
201954,Darren Collison,2009,PG,72.25,166.2,33.5,9.0,10.45,3.1,,,,5.7
201166,Aaron Brooks,2007,PG,70.0,161.0,39.5,6.0,10.57,3.2,,,,2.7
1628976,Wendell Carter,2018,C-PF,80.75,251.4,,,,,,8.5,9.0,7.85
2591,James Lang,2003,C-PF,80.25,316.0,32.0,8.0,14.01,3.55,,,,21.4
2572,Josh Howard,2003,SF-SG,77.25,202.0,36.5,4.0,10.89,3.09,,,,6.0
1629631,De'Andre Hunter,2019,,,,,,,,,,,
1629684,Grant Williams,2019,PF,77.75,240.2,31.5,20.0,10.83,3.33,3.27,9.0,10.5,5.4
1626207,Ryan Boatright,2015,PG,70.0,169.6,41.0,10.0,10.71,3.26,3.05,7.5,8.75,6.6
2586,Keith Bogans,2003,SG,76.25,213.0,35.0,10.0,11.43,3.25,,,,8.0
101149,Martynas Andriuskevicius,2005,C-PF,85.25,227.8,27.5,0.0,11.94,3.42,,,,
1627767,Cheick Diallo,2016,PF,79.5,218.6,35.0,,11.24,3.26,3.3,8.5,9.75,5.6
101138,Brandon Bass,2004,PF,78.25,246.0,33.0,18.0,11.61,3.24,,,,9.3
1629022,Lonnie Walker,2018,SG,75.75,196.2,40.0,12.0,10.87,3.06,2.91,9.0,9.5,5.65
1627736,Malik Beasley,2016,SG,75.5,189.8,,,,,0.0,8.5,9.0,6.9
2590,Mo Williams,2003,PG-SG,72.75,189.0,,3.0,,,,,,6.7
101159,Dijon Thompson,2005,SF-SG,78.25,195.8,,,,,,,,
203949,James McAdoo,2014,PF,79.5,227.6,34.0,,11.61,3.28,2.91,9.25,9.0,6.15
201225,Carlos Powell,2005,SF-PF,77.25,221.8,34.5,12.0,11.54,3.21,,,,
203460,Andre Roberson,2013,PF-SF,78.25,205.8,36.5,10.0,11.36,3.34,3.02,8.75,9.5,7.05
12119,Omar Thomas,2005,SF-SG,75.25,200.0,29.5,6.0,11.11,3.27,,,,
2765,Andre Emmett,2004,SG-SF,75.5,216.0,,,,,,,,6.7
203480,James Southerland,2013,SF-PF,79.0,220.6,32.0,5.0,10.9,3.38,3.03,8.0,9.5,8.05
203895,Jordan McRae,2014,SG,75.75,179.4,34.5,,11.07,3.39,3.15,8.75,8.5,5.2
2822,Rich Melzer,2004,PF-SF,79.5,229.0,28.5,8.0,11.74,3.39,,,,12.4
1629023,P.J. Washington,2019,PF,78.5,230.4,,,,,,9.0,10.25,8.6
1627361,Dez Wells,2015,SG,75.0,208.8,39.0,15.0,10.56,3.2,3.05,8.75,9.75,8.1
12256,Shawn James,2008,PF,79.75,217.0,,6.0,,,,,,9.2
201180,Yue Sun,2007,SF,79.75,212.0,34.0,9.0,10.68,3.45,,,,5.1
2414,Curtis Borchardt,2002,C,82.75,238.0,27.0,7.0,12.56,3.63,,,,
1628973,Jalen Brunson,2018,PG,73.0,198.4,37.0,7.0,10.59,3.15,3.11,8.25,9.25,6.7
101223,Aaron Miles,2005,PG,72.0,174.6,37.5,7.0,10.69,3.22,,,,
202696,Nikola Vucevic,2011,PF-C,82.25,259.8,25.0,8.0,12.02,3.27,,9.25,10.25,6.1
2405,Amar'e Stoudemire,2002,PF,80.5,233.0,35.5,12.0,11.19,3.25,,,,
203948,Johnny O?Bryant III,2014,PF,79.25,256.8,35.5,,11.57,3.45,3.32,9.25,9.5,10.75
201974,Derrick Brown,2009,SF-PF,79.5,224.6,35.5,20.0,11.26,3.13,,,,8.6
2551,T.J. Ford,2003,PG,71.0,162.0,39.5,0.0,11.45,3.2,,,,6.7
12239,Ramel Bradley,2008,PG-SG,73.25,184.0,29.5,9.0,10.68,3.24,,,,5.7
101187,Alan Anderson,2005,SG-SF,76.5,223.2,30.5,10.0,10.32,3.27,,,,
203096,Jared Sullinger,2012,PF,79.75,268.2,31.0,9.0,12.77,3.81,,9.25,9.75,10.7
1629653,Devon Dotson,2020,PG,72.5,185.2,40.5,,10.44,3.02,2.22,8.25,10.0,4.6
201570,Joe Alexander,2008,SF-PF,79.25,220.0,38.5,24.0,11.33,2.99,,,,5.8
12109,D'Or Fischer,2005,C-PF,81.25,242.4,30.5,2.0,12.53,3.5,,,,
1629650,Moses Brown,2019,C,85.25,237.2,31.0,,11.95,3.51,3.3,9.5,10.25,7.8
101160,Lawrence Roberts,2004,PF,79.5,233.0,33.0,18.0,12.52,3.3,,,,9.3
1628379,Luke Kennard,2017,SG-SF,76.5,196.2,,,,,,8.0,8.75,6.6
203088,Kendall Marshall,2012,PG,75.25,198.4,37.0,,12.03,3.23,,8.5,9.0,7.8
12061,Rolan Roberts,2002,PF,77.75,241.0,37.5,16.0,11.36,3.33,,,,
101248,Marlon Parmer,2003,PG,72.75,184.0,32.0,13.0,,3.42,,,,9.3
2639,Britton Johnsen,2003,SF-PF,82.0,212.0,32.5,13.0,10.67,3.08,,,,7.3
1626176,Rakeem Christmas,2015,PF-C,80.25,242.6,32.0,9.0,11.6,3.47,3.3,9.25,9.0,9.6
