name,five_ft_split,ten_ft_split,fifteen_ft_split,twenty_ft_split,twenty_five_ft_split,thirty_ft_split,thirty_five_ft_split,forty_ft_split,forty_five_ft_split,fifty_ft_split,fifty_five_ft_split,sixty_ft_split,sixty_five_ft_split,seventy_ft_split,seventy_five_ft_split,eighty_ft_split,eighty_five_ft_split,ninety_ft_split,ID,weight,height,bats,throws
"Abrams, CJ",0.53,0.82,1.07,1.3,1.51,1.71,1.905,2.095,2.275,2.45,2.625,2.795,2.96,3.13,3.3,3.465,3.645,3.835,33,185,74,L,R
"Ackley, Dustin",0.55,0.85,1.11,1.36,1.59,1.815,2.02,2.22,2.41,2.6,2.785,2.97,3.15,3.33,3.51,3.695,3.885,4.08,53,205,73,L,R
"Adames, Cristhian",0.555,0.855,1.12,1.365,1.595,1.81,2.01,2.21,2.4,2.59,2.77,2.955,3.135,3.31,3.49,3.67,3.855,4.04,66,217,71,B,R
"Adames, Willy",0.5533333333,0.8633333333,1.125,1.368333333,1.588333333,1.8,1.998333333,2.191666667,2.378333333,2.563333333,2.741666667,2.92,3.096666667,3.268333333,3.441666667,3.613333333,3.785,3.961666667,67,210,72,R,R
"Adams, Lane",0.53,0.81,1.05,1.28,1.49,1.7,1.89,2.07,2.25,2.43,2.6,2.77,2.93,3.1,3.26,3.43,3.59,3.76,91,190,76,R,R
"Adams, Matt",0.5383333333,0.8383333333,1.115,1.366666667,1.605,1.825,2.038333333,2.243333333,2.44,2.64,2.831666667,3.02,3.208333333,3.395,3.588333333,3.778333333,3.976666667,4.18,92,245,75,L,R
"Adams, Riley",0.56,0.89,1.16,1.406666667,1.636666667,1.856666667,2.063333333,2.263333333,2.463333333,2.656666667,2.846666667,3.033333333,3.223333333,3.41,3.596666667,3.783333333,3.97,4.17,99,249,76,R,R
"Adell, Jo",0.55,0.85,1.103333333,1.333333333,1.546666667,1.75,1.94,2.126666667,2.306666667,2.483333333,2.653333333,2.823333333,2.99,3.156666667,3.316666667,3.483333333,3.646666667,3.81,113,215,75,R,R
"Adrianza, Ehire",0.54,0.8409090909,1.1,1.341818182,1.566363636,1.78,1.982727273,2.18,2.371818182,2.559090909,2.743636364,2.927272727,3.107272727,3.287272727,3.467272727,3.646363636,3.832727273,4.025454545,126,198,73,B,R
"Ahmed, Nick",0.5577777778,0.8711111111,1.136666667,1.377777778,1.605555556,1.821111111,2.023333333,2.222222222,2.411111111,2.594444444,2.777777778,2.955555556,3.134444444,3.31,3.484444444,3.66,3.835555556,4.014444444,145,201,74,R,R
"Akiyama, Shogo",0.56,0.87,1.135,1.37,1.59,1.8,1.995,2.195,2.385,2.57,2.75,2.925,3.105,3.285,3.455,3.63,3.81,4.01,158,182,72,L,R
"Alberto, Hanser",0.5657142857,0.8842857143,1.151428571,1.398571429,1.631428571,1.847142857,2.057142857,2.257142857,2.452857143,2.647142857,2.834285714,3.02,3.208571429,3.391428571,3.572857143,3.757142857,3.944285714,4.142857143,167,215,71,R,R
